source,chunk
rc-website-fork/content/form/combined-request-form.md,"{{% jiramsg %}} {{< enabledisableform }} {{% getstatus keyword=""jira"" %}} {{% formuserinfov2 %}} PI/Owner UVA ID Requestor ID (if different from User ID above) Your Current Resources Type Project Group Resource Name Tier Size/Count Status Update Date No resources found to display. Resource Type Allocation's (SU) Storage Allocation's (SU) Request New or Renewal New Update/Renewal If this is your first request, select New. Otherwise select Renewal. Name of Grouper/MyGroups Account Select a group Storage Grouper/MyGroups Account Select a group Your Existing Service Units Select Project Group Resource Name Tier Size/Count Status Update Date Project Nick Name Description of Research Project Briefly describe how you have used Rivanna/Afton in your research. Please include conference presentations, journal articles, other publications, or grant proposals that cite Rivanna. Tier Options For detailed information about each allocation tier option, please visit our Allocation Types Documentation. Standard Paid Instructional Additional SU's Requested The number of SU's requested.(Note: SU's cannot be requested for Standard and Instructional resources but will be automatically applied/updated once submitted) Storage Request New or Change Existing Create new storage share Update existing share Retire existing share Name of Grouper/MyGroups Account Select a group Group names can only contain letters, numbers, dashes, and underscores (e.g., researchlab1, datascience2) Your Existing Storage Select Project Group Resource Name Tier Size/Count Status Update Date Project Nick Name Description of Research Project Briefly describe how you have used Rivanna/Afton in your research. Please include conference presentations, journal articles, other publications, or grant proposals that cite Rivanna. Tier Options For detailed information about each storage tier option, please visit our Storage Documentation. SSZ Research Project ({{< extractstoragecost type=""project"" }}) SSZ Research Standard ({{< extractstoragecost type=""standard"" }}) HighSecurity Research Standard Storage ({{< extractstoragecost type=""hsz standard"" }}) Internal Use / Public DataThis storage platform is appropriate for public or internal use data."
rc-website-fork/content/form/combined-request-form.md,"Sensitive / Highly Sensitive DataThis storage platform is appropriate for highly sensitive data such as HIPAA, FERPA, CUI, etc. Total Space (TB) The size of storage to be created/retired, or the amount of the increase/decrease to your storage. Specify in 1TB increments. Free Space (TB) You have 10TB of free space, how much would you like to apply for this share? Existing FDM's Company Cost Center Business Unit Funding Number Fund Function Program Activity Assignee Delete + New FDM Payment Information {{% billingfdm %}} Add to FDM Details Cancel Data Agreement The owner of these services assumes all responsibility for complying with state, federal, and international data retention laws. Researchers may be required to keep data securely stored for years after a project has ended and should plan accordingly. University of Virginia researchers are strongly encouraged to use the University Records Management Application (URMA), a webbased tool that automatically tracks when data can be safely transferred or destroyed. I understand Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit Cancel {{< /enabledisableform }}"
rc-website-fork/content/form/test-form.md,"{{% formuserinfo %}} Name of PI Is the PI of your account a UVA faculty member? Yes No (NonUVA personnel are charged $0.07/SU) I agree that this allocation will be used for research purposes only Agree Disagree Title of Award (if applicable) Total number of SUs requested Total amount to be charged to FDM $ SU expiration date (if applicable) Apply this purchase to which allocation {{% billingfdm %}} Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit"
rc-website-fork/content/form/README.md,"🏛 Combined Request Form Research Computing 📌 Overview The Combined Request Form is a dynamic webbased UI for Service Unit (SU) Requests and Storage Requests. The form handles new allocations and renewals, validates user inputs, generates API payloads, and submits requests using POST (New) and PUT (Renewal) methods. 📖 Table of Contents Form Structure JavaScript Architecture Event Handling & Interactivity Fetching and Processing User Data Payload Construction (New & Renewal Requests) Form Submission & API Communication Validation & Error Handling UI Behaviors & Additional Features 📑 1. Form Structure The form dynamically adjusts based on the selected request type. Service Unit (SU) Requests New Request: Users select a Group, Tier, and input billing details. Renewal: Users select from an Existing SU Table, and only the updatedate is changed. Storage Requests New Storage: Users pick a storage tier and specify allocation details. Modify Storage: Users choose an existing project from the Existing Storage Table. Billing Information Displayed dynamically if a selected request requires billing. ⚙️ 2. JavaScript Architecture The core JavaScript file combinedrequestform.js manages: Dynamic form updates based on user selections. Fetching and displaying user resources. Validating inputs and preventing invalid submissions. Building and submitting API payloads. Key JavaScript Functions | Function | Description | ||| | fetchMetadata() | Fetches storage tier limits and billing rules from API. | | fetchAndPopulateGroups() | Retrieves user groups and resources dynamically. | | updatePayloadPreview() | Shows realtime request preview before submission. | | validatePayload(payload) | Ensures API payload structure is correct. | | submitForm(formData, payload) | Sends request via POST (New) or PUT (Renewal). | | processUserResources(apiResponse) | Populates user’s Existing SU Table. | 🖱 3. Event Handling & Interactivity JavaScript dynamically updates the UI based on user actions. Key Event Listeners | Event | Function Triggered | Description | |||| | Change on"
rc-website-fork/content/form/README.md,"requesttype | toggleRequestFields() | Toggles between Service Unit and Storage Requests. | | Change on neworrenewal | toggleAllocationFields() | Shows correct fields for New vs Renewal. | | Change on existingprojectallocation | updatePayloadPreview() | Updates the API payload preview. | | Change on any form input | updateBillingVisibility() | Shows/hides Billing Information. | | Form Submit | handleFormSubmit(event) | Collects data, validates, and submits the request. | 🔄 4. Fetching and Processing User Data At page load, fetchAndPopulateGroups() retrieves: User Groups Existing Service Unit Allocations Storage Requests Fetched data is stored in consoleData and updates: 1. Existing SU Table (populateExistingServiceUnitsTable()) 2. Existing Storage Requests Table (if applicable) 🛠 5. Payload Construction (New & Renewal Requests) New SU Requests (POST) User selects Group and Tier. Billing details are included if applicable. Request count defaults to 1000 unless specified. Payload structure: json [ { ""groupname"": ""RCStaff"", ""projectname"": ""Test Project"", ""projectdesc"": ""This is free text"", ""dataagreementsigned"": true, ""piuid"": ""UVAComputingID"", ""resources"": { ""hpcserviceunits"": { ""CACSStaff"": { ""tier"": ""sszproject"", ""requestcount"": ""1000"", ""billingdetails"": { ""fdmbillinginfo"": [ { ""financialcontact"": ""First Name Last Name"", ""company"": ""234324"", ""businessunit"": ""3"", ""costcenter"": ""224"", ""fund"": ""a Fund"", ""gift"": """", ""grant"": """", ""designated"": """", ""project"": """", ""programcode"": ""a program"", ""function"": ""A Function"", ""activity"": ""an activity"", ""assignee"": ""an assignee"" } ] } } } }, ""userresources"": [] } ] Renewal Requests (PUT) The user selects an existing SU instead of filling in a new group. The only change allowed is updating the updatedate. The API payload includes the existing group, tier, and updated timestamp. json [ { ""groupname"": ""RCStaff"", ""projectname"": ""Existing Project"", ""resources"": { ""hpcserviceunits"": { ""CACSStaffsszstandard"": { ""tier"": ""sszstandard"", ""requestcount"": ""50000"", ""updatedate"": ""20250212T10:30:00Z"" ""billingdetails"": { ""fdmbillinginfo"": [ { ""financialcontact"": ""First Name Last Name"", ""company"": ""234324"", ""businessunit"": ""3"", ""costcenter"": ""224"", ""fund"": ""a Fund"", ""gift"": """", ""grant"": """", ""designated"": """", ""project"": """", ""programcode"": ""a program"","
rc-website-fork/content/form/README.md,"""function"": ""A Function"", ""activity"": ""an activity"", ""assignee"": ""an assignee"" } ] } } } } } ] 6. Form Submission & API Communication The submitForm() function determines whether to POST or PUT based on the selected New vs Renewal option. New Requests → POST to: https://uvarcunifiedservice.pods.uvarc.io/uvarc/api/resource/rcwebform/user/{userId} Renewal Requests → PUT to: https://uvarcunifiedservice.pods.uvarc.io/uvarc/api/resource/rcwebform/user/{userId}/{resourceid} 7. Validation & Error Handling Before submission, validatePayload(payload) checks for: Missing required fields (group, tier, request count). Duplicate group/tier combinations. Correct formatting of billing details (when required). Errors trigger showErrorMessage(), and invalid fields are marked red. 8. UI Behaviors & Additional Features ✅ RealTime Payload Preview The function updatePayloadPreview() shows the request payload before submission. ✅ Billing Visibility The form automatically hides/shows billing details based on the selected SU or Storage option. ✅ Sorting of Existing SU Table Newest allocations appear first in the Existing SU table."
rc-website-fork/content/form/allocation-purchase.md,"{{% jiramsg %}} {{< enabledisableform }} {{% getstatus keyword=""jira"" %}} {{% formuserinfov2 %}} Name of PI Is the PI of your account a UVA faculty member? Yes No I agree that this allocation will be used for research purposes only Agree Disagree Title of Award (if applicable) Total number of SUs requested Total amount to be charged to FDM $ SU expiration date (if applicable) Apply this purchase to which allocation {{% groupcreationtip %}} {{% billingfdm %}} Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit {{< /enabledisableform }}"
rc-website-fork/content/form/allocation-standard.md,"{{% jiramsg %}} {{< enabledisableform }} {{% getstatus keyword=""jira"" %}} {{% formuserinfov2 %}} Name of Grouper/MyGroups Account Lowercase only, no spaces, PI must create his/her Grouper group for new allocations. {{% groupcreationtip %}} New or Renewal New Renewal If this is your first request, select New. Otherwise select Renewal. Standard allocations expire 12 months after they are disbursed. Description of Research Project Briefly describe how you have used Rivanna/Afton in your research. Please include conference presentations, journal articles, other publications, or grant proposals that cite Rivanna. Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit {{< /enabledisableform }}"
rc-website-fork/content/form/support-request.md,"{{% jiramsg %}} {{< formcookies }} {{< enabledisableform }} {{% getstatus keyword=""jira"" %}} {{% formuserinfov2 %}} Support Category Select General research computing question HPC (Afton & Rivanna) Ivy Secure Computing Storage Container Service Data Analytics Center Digital Technology Core Other Use this form for general Rivanna support questions. Or submit an Allocation Request. Use this form for storage questions. Or submit a storage request. Use this form for general queries about containerized services. Or request a container service. Use this form for general Ivy questions. Or submit an Ivy Project Request. Use this form for questions related to services offered by our Data Analytics Center. Learn more about the Data Analytics Center. Use this form for questions related to services offered by our Digital Technology Core. Learn more about the Digital Technology Core. Brief description of your request Details of your request Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit {{< /enabledisableform }}"
rc-website-fork/content/form/support-request-vRedesign.md,"{{% formuserinfov2 %}} Select a support category: General Support HPC (Afton & Rivanna) Ivy Consultation Reset Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm whether the submission completed or failed. Submit"
rc-website-fork/content/form/allocation-instructional.md,"{{% jiramsg %}} {{< enabledisableform }} {{% getstatus keyword=""jira"" %}} {{% formuserinfov2 %}} Name of Grouper/MyGroup Account Lowercase only, no spaces, PI must create his/her Grouper group for new allocations. {{% groupcreationtip %}} Instructors are responsible for creating the class Grouper group and updating the roster for the chosen account through the Grouper portal. New or Renewal New Renewal If you have taught this same class before using Rivanna/Afton, select Renewal. Class ID Academic Term Class Size How many students are in your class? Class Schedule What days/times does this class meet? Enter “n/a” if students will use the cluster at different times. Cores/Memory Required Estimate how many cores and how much memory each student will need to process his/her jobs. General descriptions are fine. A member of our user services team will contact you if we need additional information. PIs are eligible for 10TB of Research Standard storage at no charge. Instructors are encouraged to utilize this 10TB of storage for both research and teaching activities. Read the full policy and guide for instructors. Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit {{< /enabledisableform }}"
rc-website-fork/content/form/containers.md,"{{% jiramsg %}} {{< enabledisableform }} {{% getstatus keyword=""jira"" %}} {{% formuserinfov2 %}} Project Summary Please describe your project and the container images you want to run. Tier of Service <= 5 containers ({{< extractmicroservicescost tier=light }} total) 6 15 containers ({{< extractmicroservicescost tier=medium }} total) 15 containers ({{< extractmicroservicescost tier=heavy }} total) Billing Tiers are selected and paid for by the PI. Submit this form again if you wish to change your tier. Stopped containers do not incur charges, nor does local cluster storage or remote NFS mounts to /project storage. Project storage pricing can be found here. Storage No storage required Persistent cluster storage required NFS mount of project storage is required Storage Capacity (GB) The size of storage if required. Specify in 1GB increments. SSL/HTTPS Required No Yes Netbadge Authentication No Yes {{% billingfdm %}} Data Agreement The owner of these services assumes all responsibility for complying with state, federal, and international data retention laws. Researchers may be required to keep data securely stored for years after a project has ended and should plan accordingly. University of Virginia researchers are strongly encouraged to use the University Records Management Application (URMA), a webbased tool that automatically tracks when data can be safely transferred or destroyed. I understand Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit {{< /enabledisableform }}"
rc-website-fork/content/form/accord.md,"{{% jiramsg %}} {{< getstatus keyword=""jira"" }} {{< enabledisableform }} Name Email University/Institution Department/Organization Brief description of your request Details of your request Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit {{< /enabledisableform }}"
rc-website-fork/content/form/sns-test.md,here is a response {{% formuserinfo %}} Group Family Submit
rc-website-fork/content/form/dedicated-computing.md,"{{% jiramsg %}} {{< enabledisableform }} {{% getstatus keyword=""jira"" %}} {{% formuserinfov2 %}} Name of Grouper/MyGroup Account Lowercase only, no spaces, PI must create his/her Grouper group for new allocations. {{% groupcreationtip %}} Type and quantity of hardware requested (Check out the specifications) {{< dedicatedoptionsform }} Proposed Start Date (Subject to Resource Availability) Start Date End Date Please select a valid start and end date. {{% billingfdm %}} Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit {{< /enabledisableform }}"
rc-website-fork/content/form/support-request-attachments.md,"{{% formuserinfo %}} Support Category Select General research computing question HPC (Afton & Rivanna) Ivy Secure Computing Storage Omero Image Analysis Containerized Service Consultation request CHASE Accounts/Data Sentinel System/Software Other Use this form for general HPC support questions. Or submit an Allocation Request. Use this form for storage questions. Or submit a storage request. Use this form for general Omero questions. Or request Omero access. Use this form for general queries about containerized services. Or request a container service. Use this form for general Ivy questions. Or submit an Ivy Project Request. Brief description of your request Department/Organization Details of your request Attachments Upload files Select or drag files or screenshots here Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit"
rc-website-fork/content/post/2025-may-maintenance.md,"{{< alertgreen }}The UVA HPC systems, Afton/Rivanna, will be down for maintenance on Tuesday, May 27, 2025 beginning at 6 am.{{< /alertgreen }} All systems are expected to return to service by Wednesday, May 28 at 6 am. How should I prepare and what to expect on May 27, 2025? You may continue submitting jobs to the HPC system until the maintenance period begins. However, if the system determines your job won't finish in time, it will not start until the system is back online. The upcoming maintenance will include upgrades to the HPC image (upgrading to Rocky 8.10), the HPC scheduler (Slurm 24.11), the NVIDIA driver and Open OnDemand. To complete these tasks, all compute nodes and login nodes including the Open OnDemand and FastX portals – will need to be taken offline. However, Research Project Storage and Research Standard Storage will remain accessible via SMB and NFS mounts. Additionally, the UVA Standard Security Storage Data Transfer Node (DTN) will stay operational throughout the maintenance period. If you have any questions about the upcoming HPC system maintenance, you may contact our user services team. IMPORTANT MAINTENANCE NOTES System upgrades Operating system: Rocky 8.10 Slurm: 24.11.3 NVIDIA driver: 570.124.06 (CUDA 12.8) Open OnDemand: 4.0 Modules The software stack is migrated from /sfs/applications to /sfs/gpfs/tardis/applications and the /apps symbolic link is updated accordingly. Unless the full path is required, users should simply use /apps. Default version changes include: cuda/12.4.1 → 12.8.0 miniforge/24.3.0py3.11 → 24.11.3py3.12 namd/2.14 → 3.0.1 nvhpc/24.5 → 25.3 R/4.4.1 → 4.5.0 (The original defaults are not removed.) {{< table title=""replacement"" class=""table tablestriped"" }} | Module | Remove | Replace with | |||| |afni | 23.1.10 | 25.0.12 | |bracken | 2.9 | 3.1 | |cellranger | 8.0.0 | 9.0.1 | |codeserver| 4.92.2 | 4.99.1 | |cmake | 3.23.3, 3.24.3"
rc-website-fork/content/post/2025-may-maintenance.md,"| 3.28.1, 4.0.0 | |cuda | 10.2.89, 11.8.0 | 12.8.0 | |cudnn | 8.2.4.15, 8.9.7 | 8.9.4.25, 9.8.0CUDA12.8.0 | |cutadapt | 3.4 | 4.9 | |fastqc | 0.11.5 | 0.12.1 | |fmriprep | 23.1.4 | 25.0.0 | |fsl | 6.0.7.6 | 6.0.7.17 | |gcc | 13.3.0 | 14.2.0 | |globuscli | 3.11.0 | 3.34.0 | |go | 1.21.4 | 1.23.6 | |intel | 2024.0 | 2025.0 | |jcuda | 11.4.1 | | |jupyterlab | 3.6.3py3.11 | 4.4.1py3.12 (see note below) | |kraken2 | 2.1.3 | 2.1.5 | |mathematica| 11.2 | 14.2 | |matlab | R2022b | R2024b | |multiqc | 1.14 | 1.27.1 | |nextflow | 23.04.1 | 24.10.5 | |openmpi | 4.1.4nofabric[withoutverbs] | 4.1.4 | |openmpi | 4.1.5intel | 4.1.5 | |perl | 5.36.0 | 5.40.2 | |pytorch | 1.12.0, 2.0.1 | 2.4.0, 2.7.0 | |ruby | 3.1.2 | 3.4.3 | |smrtlink | 13.1.0.221970 | 25.2.0 | |spaceranger| 3.1.1 | 3.1.3 | |sumo | 1.14.1 | 1.22.0 | |texlive | 2023 | 2025 | |tmux | 2.5 | 3.4 | |tree | 1.8.0 | 2.2.1 | |trimgalore | 0.6.4 | 0.6.10 | {{< /table }} PostMaintenance Note Due to issues with accessing subfolders in the new JupyterLab, we have reverted to the premaintenance version on Open OnDemand. However, the issue is not observed when Jupyter is launched manually from the command line, and so the new version is still kept as a module for those who wish to launch it manually (e.g. within a Desktop session)."
rc-website-fork/content/post/2022-04-women-in-hpc.md,"Please join us for a lively panel discussion of the highperformance computing infrastructure and support resources available to researchers in the Commonwealth of Virginia. Panelists from Virginia's top research universities will provide an overview of the user base at their home institutions and discuss strategies for helping researchers make better use of existing HPC resources. Attendees are encouraged to share their own experiences and engage with panelists during this interactive Q&A session. Topic: Highperformance Computing Resources in the Commonwealth of Virginia When: April 27, 2022 01:00 PM, Eastern Time (US and Canada) Featured panelists: Matthew Brown (VT) Jayshree Sarma (GMU) Jacalyn Huband (UVA) Eric Walter (W&M) Carol Parish (U. Richmond) Mike Davis (VCU) Virginia WHPC is committed to increasing diversity and inclusion by promoting and encouraging the participation of women in highperformance computing and related fields."
rc-website-fork/content/post/2019-summer-workshops.md,"RC staff are teaching a series of free handson workshops this summer that are open to all UVA researchers. Space is limited, so register today! Topics include: Programming in Python (June 3June 5) R (June 3June 4) MATLAB (June 5June 7 and June 13) Compiled Languages, C++ and Fortran (June 6June 7) Scientific Image Processing with Fiji/ImageJ (June 10) Introduction to HighPerformance Computing (June 10) Software Design and Testing (June 11) HPC Data Analytics (June 11) Parallel Programming Using MPI (June 12June 13) Bioinformatics (June 12) Scientific Visualization (June 14) OpenMP and Accelerators (June 14) Register through the new CADRE Academy portal. You can register for classes, follow tracks or workshops that are not yet scheduled, and find other related workshops. For a comprehensive list of all such educational opportunities across Grounds, visit the Research & Data Services Training Portal. Learn More Would you like to learn the basics of highthroughput and parallel computing? Do you want handson high performance training that you can apply to your research? If so, then we invite you to attend one or more sessions in ARCS' Summer Education Series. The sessions are free for all UVA faculty, staff, and students. Topics include how to program in Python, scientific visualization, modern Fortran, data analytics, MPI for distributed systems, OpenMP for multicore systems, and more! Lectures on relevant topics will be delivered during the morning sessions; afternoon sessions offer handson practice. June 3June 5: Programming in Python Go from beginner to proficient in three days. Day 1: Basics of programming in Python. Day 2: Modules and packages. NumPy, SciPy, and Pandas. Day 3: Dictionaries and classes. Some computing experience is helpful but not required. Mornings are lectures and handson exercises, with afternoon labs focused on programming applications to cement your skills. June 3June 4: R Day"
rc-website-fork/content/post/2019-summer-workshops.md,"1 (R for data science): R is one of the most ubiquitous statistical computing languages. In this session, you will be introduced to the language's fundamental data structures as well as how to load packages and use functions. Topics include: composing scripts, reading data into R, and basic data manipulation and visualization techniques using the ""tidyverse"" set of packages (dplyr,tidyr,ggplot2). Day 2 (R as a programming language): Need to improve your skills with manipulating data in R? In R as a programming language, you will learn how to make R do more work for you. Topics include decisionmaking, repetition, functions, and optimizations (such as vectorization). June 5June 7: MATLAB Day 1: MATLAB fundamentals (no prior MATLAB experience required). Day 2: MATLAB programming techniques. Provides handson experience using the features in the MATLAB language to write efficient, robust, and wellorganized code. These concepts form the foundation for writing full applications, developing algorithms, and extending builtin MATLAB capabilities. Details of performance optimization, as well as tools for writing, debugging, and profiling code are covered. Day 3: MATLAB for data visualization. Focuses on importing and preparing data for data analytics applications. The workshop is intended for data analysts and data scientists who need to automate the processing, analysis, and visualization of data from multiple sources. June 6June 7: Compiled Languages The basics of C++ and Fortran will be taught in this accelerated twoday course. Prerequisite: experience programming in some language. Mornings will be handson and lecture, with afternoon programming labs. June 10: Intro to HighPerformance Computing This allday session is an indepth introduction to using the Rivanna HPC cluster. Topics covered will include an introduction to the Unix command line, writing Slurm scripts, and highthroughput computing. June 10: Scientific Image Processing with Fiji/ImageJ This handson workshop is an introduction to using Fiji, an"
rc-website-fork/content/post/2019-summer-workshops.md,"opensource and enhanced version of the popular ImageJ program used for scientific image processing. During the morning session, participants will be introduced to image processing filters, strategies for image background correction, as well as identification and analysis of image objects of interest using segmentation masks. During the afternoon session, participants will learn how to write scripts for automated execution of image processing pipelines and batch processing of multiple image files in Fiji. Example scripts will be provided using the Python and BeanShell languages. Participants should bring their own laptop with Fiji preinstalled. Instructions for installations of Fiji on Windows, Mac OSX, and Linux can be found on this website: https://fiji.sc/ June 11: HPC Data Analytics An overview of data analytics using an HPC Cluster. Topics include data transfer and storage; introduction to machine learning, including tensorflow. June 11: Software Design Learn to write code that is readable, reusable, and extensible. June 12June 13: Parallel Programming Using MPI The MessagePassing Interface is the standard for distributed parallel programming. MPI programs can run on multiple nodes of a cluster. Day 1: Basics of parallel programming. Collective Communications. Day 2: Pointtopoint communications. June 12: Bioinformatics Nextgeneration sequencing technology has evolved dramatically to enable investigation of genome/transcriptome/epigenome of any organism. Sessions in this track will introduce researchers to basic skills needed to analyze sequencing data using Rivanna, UVA's HPC cluster. June 13: Accelerating and Parallelizing MATLAB Code Covers a variety of techniques for making your MATLAB code run faster. You will identify and remove computational bottlenecks using techniques like preallocation and vectorization. On top of that, you will take advantage of multiple cores on your computer by parallelizing forloops with Parallel Computing Toolbox, and scale up across multiple computers using MATLAB Parallel Server. June 14: Parallel Programming with OpenMP and Accelerators OpenMP is a"
rc-website-fork/content/post/2019-summer-workshops.md,"programming model based upon threads that run over multiple cores of one node. OpenMP can also be used to program generalpurpose graphical processing units (GPGPUs). OpenACC, another compilerbased model for GPGPUs, will also be discussed. June 14: Scientific Visualization An exploration of tools used for visualization, including ParaView for scientific visualization, ITKSNAP for medical visualization, and Python for remote sensor data visualization."
